iter	Logloss
0	0.6744752938
1	0.6566785031
2	0.6402866255
3	0.6252363877
4	0.6114733814
5	0.599163673
6	0.5874897911
7	0.5761103966
8	0.565533331
9	0.5557630266
10	0.5469458226
11	0.5390676735
12	0.5313775707
13	0.5245945376
14	0.5180106463
15	0.5121796308
16	0.5068837629
17	0.5018383208
18	0.4969724019
19	0.4923578753
20	0.4882545907
21	0.4843187859
22	0.4808204506
23	0.4775336275
24	0.4743467603
25	0.4720144254
26	0.4693986729
27	0.4666928537
28	0.4644438389
29	0.4624982779
30	0.4606641424
31	0.4588006773
32	0.4568493907
33	0.4550032625
34	0.4534047844
35	0.4521278854
36	0.4507275354
37	0.4492906589
38	0.4482006945
39	0.4469260152
40	0.4458008103
41	0.444782555
42	0.4438000198
43	0.4428195299
44	0.4418535178
45	0.4410218593
46	0.4403170195
47	0.4394524347
48	0.4387394896
49	0.4380275908
50	0.4373150562
51	0.4366186669
52	0.4358896564
53	0.4353009215
54	0.4346795582
55	0.4341899472
56	0.4337951297
57	0.433225421
58	0.4327205077
59	0.4321632531
60	0.4317565191
61	0.4313510059
62	0.4309916832
63	0.4305266535
64	0.4301082538
65	0.4298021662
66	0.4294815645
67	0.4292841303
68	0.4290151033
69	0.4285996319
70	0.4282338424
71	0.4280021522
72	0.4277561442
73	0.4274240585
74	0.4271295893
75	0.426846655
76	0.4265939404
77	0.4263562448
78	0.426070513
79	0.4258347793
80	0.4255412401
81	0.4253658767
82	0.4250583067
83	0.4248366837
84	0.4246190462
85	0.4244168963
86	0.4241449883
87	0.4239229366
88	0.4236259824
89	0.423444341
90	0.42328226
91	0.423063874
92	0.4228826141
93	0.4226698303
94	0.4224951245
95	0.4223013669
96	0.4221108028
97	0.4218987746
98	0.4217047555
99	0.4214817156
100	0.421368935
101	0.4212388684
102	0.4211228071
103	0.420897373
104	0.4206729816
105	0.4204985737
106	0.4203179132
107	0.4201349168
108	0.4200151789
109	0.4198601641
110	0.4197171347
111	0.4195203254
112	0.4193428476
113	0.4192377654
114	0.4190711031
115	0.4189648946
116	0.4187316858
117	0.4185417212
118	0.418357395
119	0.418072339
120	0.417898803
121	0.4177445875
122	0.4176482718
123	0.4175030409
124	0.4173687018
125	0.4172654506
126	0.417095791
127	0.4169667162
128	0.4168355415
129	0.4166287268
130	0.416499543
131	0.4163814872
132	0.4162524705
133	0.4161490631
134	0.416022328
135	0.4158185686
136	0.4156935774
137	0.4155606188
138	0.4154525503
139	0.4152581315
140	0.4151254272
141	0.4148997243
142	0.4148282914
143	0.4147578866
144	0.4146088773
145	0.4144915081
146	0.4143092746
147	0.4141509029
148	0.4139617012
149	0.4138011351
150	0.4136534446
151	0.4133759889
152	0.4132582347
153	0.4131910815
154	0.4130956087
155	0.412967809
156	0.4128378114
157	0.4126375435
158	0.4124898529
159	0.4123689197
160	0.4122377741
161	0.4121093641
162	0.4120471664
163	0.4119395737
164	0.4117680032
165	0.4116607085
166	0.4115175847
167	0.4114216432
168	0.4112372371
169	0.4110498664
170	0.4109426444
171	0.410886572
172	0.4107893372
173	0.410700531
174	0.4105672237
175	0.4104051899
176	0.4103387342
177	0.4102656119
178	0.4101278723
179	0.4100381906
180	0.4099584416
181	0.4098822385
182	0.4098312814
183	0.409696212
184	0.4094809614
185	0.4093577067
186	0.4092540378
187	0.4091379947
188	0.4089662316
189	0.4088932328
190	0.4088245973
191	0.408725546
192	0.4086317262
193	0.4085073962
194	0.4084082613
195	0.4082439568
196	0.4081879861
197	0.4081319536
198	0.4080463337
199	0.407925495
200	0.4078530484
201	0.4077370598
202	0.4076346915
203	0.4075286974
204	0.4074501256
205	0.4073630851
206	0.4071982865
207	0.4071332259
208	0.4070042056
209	0.406931265
210	0.4068731326
211	0.4067818851
212	0.4067117491
213	0.4066573334
214	0.4066203926
215	0.4065352958
216	0.4063576217
217	0.4061874535
218	0.406073612
219	0.4059938195
220	0.4058062018
221	0.4056779298
222	0.4056099229
223	0.4054841759
224	0.4053363764
225	0.4052411833
226	0.4051789347
227	0.4051199377
228	0.4050233895
229	0.4049681418
230	0.404882006
231	0.4048188891
232	0.4046614038
233	0.4046035912
234	0.4044838642
235	0.4043338957
236	0.404235353
237	0.4041388339
238	0.4040522439
239	0.4039831252
240	0.4038745081
241	0.4037506213
242	0.4036989666
243	0.4035855938
244	0.4034846824
245	0.4034281558
246	0.4032774898
247	0.4032104456
248	0.4031012726
249	0.4030010405
250	0.4029313224
251	0.4028694407
252	0.4027692668
253	0.4026704189
254	0.4026043701
255	0.4024880291
256	0.4024515497
257	0.4023354994
258	0.4021998851
259	0.4021444847
260	0.4020407649
261	0.4018993705
262	0.4018035998
263	0.4016701362
264	0.401533472
265	0.4015043676
266	0.4013496653
267	0.4012492552
268	0.4011425164
269	0.4010623678
270	0.4009875234
271	0.4008863613
272	0.4008418056
273	0.4006795865
274	0.4006040301
275	0.4004854838
276	0.4003960564
277	0.4002873194
278	0.4002157883
279	0.4000842721
280	0.3999526287
281	0.3998091416
282	0.399755863
283	0.3996760196
284	0.3995603798
285	0.3995113918
286	0.3993200102
287	0.3992234984
288	0.3990904708
289	0.3990181732
290	0.3989168331
291	0.3987549991
292	0.3986519151
293	0.3985817936
294	0.3983909389
295	0.398201036
296	0.398087536
297	0.3979352424
298	0.3978214627
299	0.3977097139
300	0.3975584085
301	0.3974596478
302	0.3973721059
303	0.3972256324
304	0.397081931
305	0.3969755663
306	0.3968864841
307	0.3967839087
308	0.3966527957
309	0.3965988486
310	0.3963736652
311	0.3962572407
312	0.3961138189
313	0.3959914217
314	0.3959199306
315	0.3957537769
316	0.3955928512
317	0.3953907703
318	0.3952404712
319	0.3951725442
320	0.3950517527
321	0.3949995059
322	0.3949040331
323	0.3947972507
324	0.3946614583
325	0.3945604125
326	0.3944258445
327	0.3942758142
328	0.3941730427
329	0.3940180097
330	0.3938729386
331	0.3937267267
332	0.393662004
333	0.3935300337
334	0.3934043448
335	0.3932664599
336	0.3930876123
337	0.3929562741
338	0.3928224981
339	0.3927355376
340	0.3926169405
341	0.392424182
342	0.3923697008
343	0.3922084917
344	0.3921039908
345	0.3919870576
346	0.3918515959
347	0.3917819577
348	0.3916375987
349	0.3915695118
350	0.3914932251
351	0.3914247386
352	0.391326719
353	0.3911657315
354	0.3910094525
355	0.390879869
356	0.3906558446
357	0.3905106572
358	0.3903931645
359	0.390274066
360	0.3901880646
361	0.3900916617
362	0.3899108196
363	0.3897726477
364	0.3897037579
365	0.389575842
366	0.3895224072
367	0.3894495501
368	0.3893276651
369	0.3891813006
370	0.3891174752
371	0.3889184861
372	0.3887912678
373	0.3886571793
374	0.3885468002
375	0.3884468151
376	0.3883075678
377	0.3881330472
378	0.3879876273
379	0.387852191
380	0.3877316393
381	0.3875817798
382	0.3874499112
383	0.3873319172
384	0.3871820032
385	0.3871121143
386	0.3869895608
387	0.3868682425
388	0.3866687266
389	0.3865889377
390	0.3864940716
391	0.3863170733
392	0.3862380509
393	0.3860756429
394	0.3859369078
395	0.3858402071
396	0.3858267285
397	0.3856247784
398	0.3854890987
399	0.3854226321
400	0.3852958861
401	0.3852088056
402	0.3850766609
403	0.3849520293
404	0.3848806944
405	0.3847407822
406	0.3845953478
407	0.3844866326
408	0.3844039118
409	0.3842681049
410	0.384154783
411	0.3840617334
412	0.3840024203
413	0.3838956161
414	0.3837784322
415	0.3837015642
416	0.3835410055
417	0.3834238361
418	0.3833573768
419	0.3831607128
420	0.3830115327
421	0.3828328596
422	0.3827104914
423	0.3825857871
424	0.3824843924
425	0.3823672413
426	0.3822243354
427	0.3821192823
428	0.3819863528
429	0.3818923478
430	0.3817697834
431	0.3816020748
432	0.3814158885
433	0.3812437766
434	0.3811780984
435	0.3810722714
436	0.3809753709
437	0.3808730352
438	0.3807942236
439	0.3807138243
440	0.3806158011
441	0.3804833258
442	0.3804016549
443	0.3802560497
444	0.3802455866
445	0.3801720574
446	0.3801075272
447	0.3799799783
448	0.3798980604
449	0.3797766477
450	0.3796861885
451	0.379571268
452	0.3794323549
453	0.379283222
454	0.3792625791
455	0.3791475677
456	0.3790063695
457	0.3789696139
458	0.3788533383
459	0.3787596639
460	0.3786083476
461	0.3785455213
462	0.3784550403
463	0.3783776565
464	0.3782120441
465	0.3780795688
466	0.3779223669
467	0.3778110613
468	0.3776787821
469	0.3775444394
470	0.377391005
471	0.377352938
472	0.3772397468
473	0.3771494693
474	0.3770392899
475	0.3768658774
476	0.3767510187
477	0.3766328648
478	0.3766217695
479	0.376519997
480	0.3764038195
481	0.3763667515
482	0.3762847319
483	0.3761931465
484	0.3761310032
485	0.3759940701
486	0.3759194547
487	0.3758496094
488	0.3757126036
489	0.3756446148
490	0.3755130768
491	0.3754654948
492	0.3753481547
493	0.3753454917
494	0.375211396
495	0.3750958288
496	0.3750170027
497	0.3748852503
498	0.3747587985
499	0.3746537635
500	0.3745753225
501	0.3744996534
502	0.3744250525
503	0.3742655255
504	0.3741855803
505	0.3740939513
506	0.3740393829
507	0.3739734686
508	0.3738664827
509	0.3737652479
510	0.3736773754
511	0.3735524641
512	0.3734622519
513	0.3733599854
514	0.3732238479
515	0.3731242407
516	0.3730544208
517	0.3729823957
518	0.3728337569
